City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Barrow,US,2021-09-15 20:53:51,71.2906,-156.7887,37.24,83,100,8.79
124,Deputatskiy,RU,2021-09-15 20:53:51,69.3,139.9,35.8,86,100,3.98
125,San Cristobal,VE,2021-09-15 20:53:52,7.7669,-72.225,82.58,48,86,8.28
126,Yar-Sale,RU,2021-09-15 20:53:52,66.8333,70.8333,37.98,92,10,7.76
127,Beirut,LB,2021-09-15 20:52:40,33.8889,35.4944,75.61,67,5,7.52
128,Tessalit,ML,2021-09-15 20:53:52,20.1986,1.0114,93.6,19,7,9.1
129,Broome,US,2021-09-15 20:53:53,42.2506,-75.833,68.7,78,90,1.01
130,Khrebtovaya,RU,2021-09-15 20:53:53,56.7032,104.2494,31.95,93,91,3.69
131,Inhambane,MZ,2021-09-15 20:53:54,-23.865,35.3833,73.67,83,0,12.12
132,Nabire,ID,2021-09-15 20:49:17,-3.3667,135.4833,73.26,94,79,3.38
133,Svetlogorsk,BY,2021-09-15 20:53:54,52.6333,29.7333,47.26,71,7,5.55
134,Tuatapere,NZ,2021-09-15 20:53:54,-46.1333,167.6833,43.83,79,88,4.92
135,Chokurdakh,RU,2021-09-15 20:53:55,70.6333,147.9167,27.55,83,31,5.41
136,Sioux Lookout,CA,2021-09-15 20:53:40,50.1001,-91.917,68.07,49,75,6.91
137,Mabaruma,GY,2021-09-15 20:53:55,8.2,-59.7833,82.92,73,25,6.73
138,Port Hardy,CA,2021-09-15 20:53:56,50.6996,-127.4199,59.18,67,40,12.66
139,Ahipara,NZ,2021-09-15 20:53:56,-35.1667,173.1667,61.75,92,67,8.63
140,Pangnirtung,CA,2021-09-15 20:53:56,66.1451,-65.7125,35.6,75,75,8.05
141,Ilulissat,GL,2021-09-15 20:53:57,69.2167,-51.1,24.87,82,33,3.44
142,Concepcion Del Uruguay,AR,2021-09-15 20:51:12,-32.4825,-58.2372,66.97,37,0,1.99
143,Buala,SB,2021-09-15 20:53:57,-8.145,159.5921,81.05,77,94,6.46
144,Ayagoz,KZ,2021-09-15 20:53:57,47.9714,80.4392,55.85,31,100,1.16
145,Tabanan,ID,2021-09-15 20:53:58,-8.5413,115.1252,74.52,86,87,3.56
146,Kindu,CD,2021-09-15 20:53:58,-2.95,25.95,69.44,93,100,2.37
147,Mbandaka,CD,2021-09-15 20:53:58,0.0487,18.2603,74.1,77,28,1.05
148,Los Chiles,CR,2021-09-15 20:53:59,11.0333,-84.7167,82.51,86,95,3.18
149,Buraydah,SA,2021-09-15 20:53:59,26.326,43.975,86.45,15,16,10.22
150,Acajutla,SV,2021-09-15 20:53:59,13.5928,-89.8275,83.3,71,42,5.46
151,Baker City,US,2021-09-15 20:54:00,44.7749,-117.8344,77.94,41,24,6.91
152,Olafsvik,IS,2021-09-15 20:54:00,64.8945,-23.7142,50.0,81,96,16.87
153,Hithadhoo,MV,2021-09-15 20:54:00,-0.6,73.0833,80.19,81,99,15.52
154,Tamale,GH,2021-09-15 20:54:01,9.4008,-0.8393,75.11,92,87,6.13
155,Warri,NG,2021-09-15 20:54:01,5.5167,5.75,76.21,93,77,4.0
156,Basoko,CD,2021-09-15 20:54:02,1.2391,23.616,74.28,82,70,1.9
157,Severodvinsk,RU,2021-09-15 20:54:02,64.5635,39.8302,35.71,78,100,9.86
158,Port Lincoln,AU,2021-09-15 20:54:02,-34.7333,135.8667,55.69,81,0,16.6
159,Rawson,AR,2021-09-15 20:54:04,-43.3002,-65.1023,63.3,33,30,21.45
160,Kenai,US,2021-09-15 20:54:04,60.5544,-151.2583,57.02,66,20,4.61
161,Haldia,IN,2021-09-15 20:54:04,22.0605,88.1097,79.23,92,100,4.97
162,Alyangula,AU,2021-09-15 20:54:05,-13.8483,136.4192,67.87,100,90,0.0
163,Ntungamo,UG,2021-09-15 20:54:05,-0.8833,29.65,67.33,83,98,2.04
164,Luderitz,NA,2021-09-15 20:54:06,-26.6481,15.1594,53.67,69,0,24.38
165,Morristown,US,2021-09-15 20:53:37,36.214,-83.2949,80.65,69,20,0.0
166,Tres Arroyos,AR,2021-09-15 20:54:06,-38.3739,-60.2798,59.25,54,9,9.24
167,Kruisfontein,ZA,2021-09-15 20:54:07,-34.0033,24.7314,50.88,83,1,6.98
168,Mae Hong Son,TH,2021-09-15 20:54:07,19.3003,97.9685,74.12,99,100,1.57
169,Grindavik,IS,2021-09-15 20:54:07,63.8424,-22.4338,54.07,94,90,20.71
170,Rio Brilhante,BR,2021-09-15 20:54:08,-21.8019,-54.5464,77.4,75,100,5.53
171,Abapo,BO,2021-09-15 20:54:08,-18.8333,-63.4667,72.09,31,98,6.67
172,Tahta,EG,2021-09-15 20:54:09,26.7693,31.5021,82.72,29,0,10.56
173,Strelka,RU,2021-09-15 20:54:09,58.0728,93.0344,36.55,96,96,1.61
174,Abu Ghosh,IL,2021-09-15 20:54:09,31.8059,35.1093,71.02,91,0,11.01
175,Parrsboro,CA,2021-09-15 20:54:10,45.4001,-64.332,66.99,70,99,17.05
176,Houston,US,2021-09-15 20:51:52,29.7633,-95.3633,82.56,75,90,5.01
177,Senno,RU,2021-09-15 20:54:10,59.5336,33.9167,37.06,98,60,3.67
178,Chacabuco,AR,2021-09-15 20:52:23,-34.6417,-60.4739,63.41,43,0,5.37
179,Neiafu,TO,2021-09-15 20:54:11,-18.65,-173.9833,79.48,83,40,6.91
180,Kununurra,AU,2021-09-15 20:54:12,-15.7667,128.7333,71.58,78,55,0.0
181,Kalmunai,LK,2021-09-15 20:54:12,7.4167,81.8167,80.1,78,100,6.31
182,Mayumba,GA,2021-09-15 20:54:13,-3.432,10.6554,76.01,89,85,8.03
183,Petropavl,KZ,2021-09-15 20:54:13,54.8753,69.1628,55.09,60,66,8.63
184,Bayangol,RU,2021-09-15 20:54:14,50.6977,103.4656,37.08,74,23,3.56
185,Zhigansk,RU,2021-09-15 20:54:14,66.7697,123.3711,41.47,72,97,4.74
186,Norman Wells,CA,2021-09-15 20:54:14,65.282,-126.8329,51.84,62,75,8.05
187,Qaanaaq,GL,2021-09-15 20:54:15,77.484,-69.3632,16.2,69,24,7.58
188,Ola,RU,2021-09-15 20:54:15,59.5833,151.2833,49.26,78,93,5.97
189,Ust-Kuyga,RU,2021-09-15 20:54:15,70.0167,135.6,44.49,75,100,2.06
190,Cabo San Lucas,MX,2021-09-15 20:54:16,22.8909,-109.9124,93.61,75,11,10.0
191,Cairns,AU,2021-09-15 20:54:16,-16.9167,145.7667,67.95,87,75,4.61
192,Portobelo,PA,2021-09-15 20:54:16,9.55,-79.65,72.01,79,99,2.42
193,Sitka,US,2021-09-15 20:54:17,57.0531,-135.33,54.07,74,45,5.86
194,Marsabit,KE,2021-09-15 20:54:17,2.3284,37.9899,70.99,51,87,21.81
195,Haines Junction,CA,2021-09-15 20:54:18,60.7522,-137.5108,51.75,50,100,2.3
196,Georgetown,MY,2021-09-15 20:52:42,5.4112,100.3354,80.53,91,20,1.99
197,Santa Lucia,ES,2021-09-15 20:54:18,27.9117,-15.5407,69.12,72,20,16.11
198,Suzzara,IT,2021-09-15 20:54:18,44.9919,10.7431,78.98,65,81,8.9
199,Arraial Do Cabo,BR,2021-09-15 20:54:19,-22.9661,-42.0278,75.16,88,75,11.5
200,Atasu,KZ,2021-09-15 20:54:19,48.6814,71.6433,56.43,26,34,5.55
201,Bo Rai,TH,2021-09-15 20:54:20,12.5728,102.5371,74.28,98,95,2.46
202,Baykit,RU,2021-09-15 20:54:20,61.67,96.37,32.07,93,53,2.66
203,Iwaki,JP,2021-09-15 20:54:20,37.05,140.8833,66.78,88,64,12.08
204,Iqaluit,CA,2021-09-15 20:54:21,63.7506,-68.5145,37.13,81,90,10.36
205,Kaitangata,NZ,2021-09-15 20:54:21,-46.2817,169.8464,41.79,92,59,4.47
206,Alappuzha,IN,2021-09-15 20:54:21,9.49,76.3264,78.28,87,98,6.38
207,Airai,TL,2021-09-15 20:54:22,-8.9266,125.4092,58.95,76,20,3.15
208,Verkhnyaya Toyma,RU,2021-09-15 20:54:22,62.2349,44.9985,42.57,87,100,9.06
209,Longyearbyen,SJ,2021-09-15 20:54:22,78.2186,15.6401,31.84,74,20,3.44
210,Perth,AU,2021-09-15 20:54:22,-31.9333,115.8333,57.2,74,40,14.97
211,Smirnykh,RU,2021-09-15 20:54:23,49.75,142.8333,46.27,76,0,1.97
212,Pitimbu,BR,2021-09-15 20:54:23,-7.4706,-34.8086,79.39,81,9,12.59
213,Westport,US,2021-09-15 20:53:08,41.1415,-73.3579,87.62,70,81,1.01
214,Sedro-Woolley,US,2021-09-15 20:54:25,48.5039,-122.2361,65.77,61,94,4.43
215,Teya,RU,2021-09-15 20:54:25,60.3778,92.6267,36.41,96,96,3.02
216,Dedougou,BF,2021-09-15 20:54:26,12.4667,-3.4667,77.54,73,100,7.47
217,Kwakoa,TZ,2021-09-15 20:54:26,-3.7667,37.7167,69.84,78,46,5.84
218,Saint-Augustin,CA,2021-09-15 20:54:26,51.226,-58.6502,47.41,85,100,13.6
219,Kavieng,PG,2021-09-15 20:54:27,-2.5744,150.7967,80.74,78,100,12.35
220,Bontang,ID,2021-09-15 20:54:27,0.1333,117.5,73.8,91,100,7.63
221,Saryozek,KZ,2021-09-15 20:54:27,44.3583,77.9753,63.84,26,70,2.26
222,Te Anau,NZ,2021-09-15 20:54:28,-45.4167,167.7167,37.49,92,81,0.78
223,Zhicheng,CN,2021-09-15 20:54:28,30.2956,111.5047,71.76,79,0,2.55
224,Laerdalsoyri,NO,2021-09-15 20:54:28,61.098,7.4816,59.43,81,100,3.6
225,Ribeira Grande,PT,2021-09-15 20:54:29,38.5167,-28.7,72.0,78,75,0.0
226,Waipawa,NZ,2021-09-15 20:54:29,-41.4122,175.5153,46.45,89,100,13.35
227,Tamsweg,AT,2021-09-15 20:54:29,47.1281,13.811,62.96,97,82,3.27
228,Lodwar,KE,2021-09-15 20:54:30,3.1191,35.5973,88.5,35,24,5.82
229,Port Blair,IN,2021-09-15 20:54:30,11.6667,92.75,78.44,86,100,11.56
