City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
430,Barra Dos Coqueiros,BR,77.02,broken clouds,-10.9089,-37.0386,Jangadeiro
437,Harper,LR,77.13,light rain,4.375,-7.7169,Screensaver
438,Buraydah,SA,79.86,clear sky,26.326,43.975,فندق راحة السلام
439,Nanakuli,US,82.35,overcast clouds,21.3906,-158.1547,Camp Pālehua
440,Kilindoni,TZ,76.64,broken clouds,-7.9139,39.6668,Bustani B&B
444,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
448,Kapoeta,SS,79.75,broken clouds,4.7717,33.5903,Eastgate Hotel
451,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
459,Mahina,PF,82.17,light rain,-17.5065,-149.489,Guest Beach Bungalow Tahiti
461,Sahawar,IN,77.32,clear sky,27.8,78.85,कलुआ नगला
462,Pacific Grove,US,88.25,clear sky,36.6177,-121.9166,Lovers Point Inn
466,Mataram,ID,81.41,overcast clouds,-8.5833,116.1167,Hotel Santika Mataram
470,Ormara,PK,80.11,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
473,Cartagena,CO,83.82,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
474,Hobyo,SO,77.41,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
475,Lompoc,US,77.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
480,Ternate,ID,81.59,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
481,Dumas,US,78.22,clear sky,35.8656,-101.9732,"Holiday Inn Express & Suites Dumas, an IHG Hotel"
484,Ixtapa,MX,87.03,broken clouds,20.7,-105.2,Hotel Plaza Providencia
486,Cape Coast,GH,76.28,light rain,5.1053,-1.2466,Samrit Hotel
487,Naze,JP,79.54,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
489,San Pedro,PH,87.31,broken clouds,14.35,121.0167,Villa Veronica Resort Private Pool
496,Siparia,TT,82.08,clear sky,10.1333,-61.5,Brook Gardens
