City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Opuwo,NA,-18.0607,13.84,73.11,18,3,1.83,clear sky
150,Dunedin,NZ,-45.8742,170.5036,57.88,42,8,11.27,clear sky
151,Cabo San Lucas,MX,22.8909,-109.9124,89.51,75,20,3.0,few clouds
152,Margate,GB,51.3813,1.3862,60.69,91,6,1.99,clear sky
153,Broome,US,42.2506,-75.833,64.38,77,90,3.0,overcast clouds
154,Luderitz,NA,-26.6481,15.1594,58.57,63,39,12.26,scattered clouds
155,Shimoda,JP,34.6667,138.95,78.21,68,34,8.59,scattered clouds
156,Aklavik,CA,68.2191,-135.0107,32.7,80,100,4.7,overcast clouds
157,Muswellbrook,AU,-32.2667,150.9,73.02,35,1,11.27,clear sky
158,Minna,NG,9.6139,6.5569,73.42,91,100,2.64,overcast clouds
159,Champerico,GT,14.3,-91.9167,85.35,77,100,4.45,overcast clouds
160,Neuquen,AR,-38.9516,-68.0591,58.89,55,0,0.0,clear sky
161,Zyryanka,RU,65.75,150.85,45.07,58,100,3.78,overcast clouds
162,Caravelas,BR,-17.7125,-39.2481,70.97,65,61,10.45,broken clouds
163,Gamba,GA,-2.65,10.0,75.24,86,98,3.58,overcast clouds
164,Shumikha,RU,55.2261,63.2961,35.71,76,6,6.6,clear sky
165,Banda Aceh,ID,5.5577,95.3222,81.84,70,41,6.29,scattered clouds
166,Fort-Shevchenko,KZ,44.5086,50.263,70.65,35,97,30.15,overcast clouds
167,Wanning,CN,18.8003,110.3967,81.72,87,100,13.73,heavy intensity rain
168,Maragogi,BR,-9.0122,-35.2225,76.06,87,49,9.62,scattered clouds
169,Olinda,BR,-8.0089,-34.8553,78.53,73,40,10.36,scattered clouds
170,Kaitangata,NZ,-46.2817,169.8464,56.17,48,23,11.83,few clouds
171,Wattegama,LK,6.7989,81.4808,77.92,81,100,2.91,overcast clouds
172,Mercedes,AR,-34.6515,-59.4307,59.18,93,9,5.5,clear sky
173,Paramonga,PE,-10.6667,-77.8333,62.04,87,37,7.16,scattered clouds
174,Mpika,ZM,-11.8343,31.4529,58.39,70,7,6.13,clear sky
175,Pangnirtung,CA,66.1451,-65.7125,30.9,57,41,5.39,scattered clouds
176,Srivardhan,IN,18.0333,73.0167,76.03,89,99,6.24,overcast clouds
177,Northam,GB,51.0333,-4.2167,58.66,94,87,4.34,overcast clouds
178,Hirara,JP,24.8,125.2833,83.34,76,7,16.28,clear sky
179,Bonfim,BR,3.0833,-59.95,78.73,77,100,5.95,overcast clouds
180,Chicama,PE,-7.8447,-79.1469,59.54,81,51,5.01,broken clouds
181,Isangel,VU,-19.55,169.2667,74.71,67,72,15.73,broken clouds
182,Ontario,US,34.0633,-117.6509,91.45,42,75,1.99,smoke
183,Coquimbo,CL,-29.9533,-71.3436,56.93,82,0,3.44,clear sky
184,Hobart,AU,-42.8794,147.3294,56.12,64,40,7.0,scattered clouds
185,Kaeo,NZ,-35.1,173.7833,65.32,70,77,11.72,broken clouds
186,Atuona,PF,-9.8,-139.0333,78.19,75,25,18.66,light rain
187,Yerbogachen,RU,61.2767,108.0108,38.77,93,100,3.09,overcast clouds
188,Zhangjiakou,CN,40.81,114.8794,61.09,92,100,8.03,moderate rain
189,Saldanha,ZA,-33.0117,17.9442,56.01,92,22,1.97,few clouds
190,Tagana-An,PH,9.6972,125.5856,82.24,81,97,3.47,overcast clouds
191,Hasaki,JP,35.7333,140.8333,79.2,60,12,12.44,few clouds
192,Aracati,BR,-4.5617,-37.7697,79.79,76,100,16.24,overcast clouds
193,Fuerte Olimpo,PY,-21.0415,-57.8738,83.71,39,100,9.84,overcast clouds
194,Sergeyevka,KZ,53.88,67.4158,36.72,75,7,4.83,clear sky
195,Asyut,EG,27.181,31.1837,79.11,45,0,7.78,clear sky
196,Arraial Do Cabo,BR,-22.9661,-42.0278,66.87,69,4,14.34,clear sky
197,Havelock,US,34.8791,-76.9013,72.01,92,100,5.53,overcast clouds
198,San Cataldo,IT,37.4841,13.9854,63.18,83,89,4.21,overcast clouds
199,Airai,TL,-8.9266,125.4092,74.8,32,22,2.57,few clouds
200,Jizan,SA,17.3333,42.6667,88.0,67,34,2.13,scattered clouds
201,Amga,RU,60.8953,131.9608,48.43,49,100,3.42,overcast clouds
202,Marienburg,PL,54.0359,19.0266,53.26,76,86,23.2,overcast clouds
203,Daru,PG,-9.0763,143.2092,78.06,84,100,16.26,overcast clouds
204,Birin,NP,26.8865,88.0718,63.7,82,37,2.73,scattered clouds
205,Fort Nelson,CA,58.8053,-122.7002,50.63,44,100,8.16,overcast clouds
206,Talara,PE,-4.5772,-81.2719,65.07,87,57,10.63,broken clouds
207,Rosa Zarate,EC,0.3333,-79.4667,74.21,92,100,3.31,overcast clouds
208,Morant Bay,JM,17.8815,-76.4093,75.61,82,94,2.35,overcast clouds
209,Slave Lake,CA,55.2834,-114.769,49.68,40,100,7.49,overcast clouds
210,Cayenne,GF,4.9333,-52.3333,83.08,82,0,4.0,clear sky
211,Verkhoyansk,RU,67.5447,133.385,43.65,56,87,4.25,overcast clouds
212,Kishi,NG,9.0833,3.85,71.65,94,92,3.47,overcast clouds
213,Hualmay,PE,-11.0964,-77.6139,62.17,85,43,7.65,scattered clouds
214,Labytnangi,RU,66.6572,66.4183,32.72,85,18,4.34,few clouds
215,Tual,ID,-5.6667,132.75,79.92,82,100,19.8,overcast clouds
216,Lagoa,PT,39.05,-27.9833,68.9,64,100,12.97,overcast clouds
217,College,US,64.8569,-147.8028,42.75,53,90,9.22,overcast clouds
218,Iqaluit,CA,63.7506,-68.5145,31.73,93,90,18.41,light snow
219,Batemans Bay,AU,-35.7167,150.1833,75.9,35,0,12.71,clear sky
220,Ilo,PE,-17.6394,-71.3375,60.28,82,86,4.72,overcast clouds
221,Jacmel,HT,18.2342,-72.5347,76.84,86,61,2.04,broken clouds
222,Bemidji,US,47.4736,-94.8803,61.92,62,1,4.61,clear sky
223,Itarema,BR,-2.9248,-39.9167,78.67,83,92,13.51,overcast clouds
224,Zelenets,RU,61.8849,50.7489,37.65,87,81,6.58,broken clouds
225,Salinopolis,BR,-0.6136,-47.3561,80.49,80,39,11.45,scattered clouds
226,Porto Santo,PT,33.072,-16.3415,70.18,68,20,9.22,few clouds
227,Fortuna,US,40.5982,-124.1573,72.86,63,1,1.99,clear sky
228,Sioux Lookout,CA,50.1001,-91.917,55.38,64,96,6.17,overcast clouds
229,Isla Mujeres,MX,21.2311,-86.731,77.05,77,100,8.37,overcast clouds
230,Folldal,NO,62.1325,9.9968,35.06,87,100,4.21,overcast clouds
231,Tashla,RU,51.7716,52.7427,57.43,42,100,19.15,light rain
232,Sosnovka,RU,56.255,51.2842,48.94,76,100,6.93,moderate rain
233,Aripuana,BR,-9.1667,-60.6333,80.91,57,8,3.58,clear sky
234,Komsomolskiy,UZ,40.4272,71.7189,59.72,47,0,9.22,clear sky
235,Samfya,ZM,-11.3649,29.5565,68.85,49,63,11.01,broken clouds
236,San Joaquin,US,37.9333,-121.3011,95.58,22,1,9.22,clear sky
237,Sao Filipe,CV,14.8961,-24.4956,79.09,77,100,6.98,overcast clouds
238,Codrington,AU,-38.2667,141.9667,54.63,65,88,20.31,overcast clouds
239,Uige,AO,-7.6087,15.0613,67.42,84,84,3.36,broken clouds
240,Goderich,CA,43.7501,-81.7165,54.91,91,100,18.9,overcast clouds
241,Sagua La Grande,CU,22.8067,-80.0756,74.39,80,87,4.65,overcast clouds
242,Gat,IL,31.61,34.7642,75.88,100,3,7.36,clear sky
243,Pevek,RU,69.7008,170.3133,29.1,82,96,12.19,overcast clouds
244,Safut,JO,32.0336,35.8332,64.72,77,40,11.5,haze
245,Paamiut,GL,61.994,-49.6678,32.34,70,0,17.29,clear sky
246,Garden City,US,42.3256,-83.331,53.55,93,90,11.5,overcast clouds
247,Nizwa,OM,22.9333,57.5333,82.81,53,100,3.91,overcast clouds
248,Tecoanapa,MX,16.5167,-98.75,81.84,83,90,5.77,overcast clouds
249,Kysyl-Syr,RU,63.8986,122.7617,44.28,65,100,8.68,overcast clouds
250,Bandar-E Anzali,IR,37.4727,49.4622,70.0,87,1,2.66,clear sky
251,Mayo,US,38.8876,-76.5119,67.03,73,0,8.01,clear sky
252,Mount Isa,AU,-20.7333,139.5,78.57,18,7,8.05,clear sky
253,Ribeira Grande,PT,38.5167,-28.7,70.21,65,83,10.09,broken clouds
254,Mogapinyana,BW,-22.3667,27.6,56.91,50,0,5.77,clear sky
255,Bajram Curri,AL,42.3554,20.0784,53.73,54,17,2.46,few clouds
256,Teahupoo,PF,-17.8333,-149.2667,76.96,74,0,17.54,light rain
257,Karasburg,NA,-28.0167,18.75,57.31,30,74,5.59,broken clouds
258,Vestmannaeyjar,IS,63.4427,-20.2734,42.46,91,100,26.96,overcast clouds
259,Abha,SA,18.2164,42.5053,64.65,68,20,4.61,few clouds
260,Tucuma,BR,-0.1833,-50.05,79.32,83,95,9.06,overcast clouds
261,Fairbanks,US,64.8378,-147.7164,42.76,54,90,9.22,overcast clouds
262,Darhan,MN,49.4867,105.9228,47.16,63,100,2.35,overcast clouds
263,Eyl,SO,7.9803,49.8164,77.86,78,92,18.07,overcast clouds
264,Longyearbyen,SJ,78.2186,15.6401,44.44,81,75,19.57,light rain
265,Tabira,BR,-7.5908,-37.5394,74.14,74,31,13.2,scattered clouds
266,Nome,US,64.5011,-165.4064,40.15,52,1,9.22,clear sky
267,Ahuimanu,US,21.4447,-157.8378,82.11,70,75,12.66,light rain
268,Angoche,MZ,-16.2325,39.9086,72.61,76,71,10.38,broken clouds
269,Borovskoy,KZ,53.8,64.15,36.72,69,8,6.06,clear sky
270,Bela,IN,25.9333,81.9833,77.63,93,99,9.75,overcast clouds
271,Grand Gaube,MU,-20.0064,57.6608,69.39,86,29,8.99,light rain
272,Severo-Kurilsk,RU,50.6789,156.125,48.56,90,100,26.31,light rain
273,Polunochnoye,RU,60.8697,60.4153,34.61,94,100,2.04,overcast clouds
274,Pangody,RU,65.85,74.4859,34.09,96,100,9.01,overcast clouds
275,Malanje,AO,-9.5402,16.341,64.04,84,75,7.78,broken clouds
276,Half Moon Bay,US,37.4636,-122.4286,94.75,50,40,5.75,scattered clouds
277,Roebourne,AU,-20.7833,117.1333,82.42,28,5,6.6,clear sky
278,Broken Hill,AU,-31.95,141.4333,73.56,21,0,19.71,clear sky
279,Ponta Delgada,PT,37.7333,-25.6667,66.92,77,20,6.91,few clouds
280,Krasyukovskaya,RU,47.5522,40.1088,54.28,94,40,2.24,scattered clouds
281,Reyes,BO,-14.3167,-67.3833,81.54,51,19,4.09,few clouds
282,Rio Grande,BR,-32.035,-52.0986,54.95,89,57,3.69,broken clouds
283,Adrar,MR,20.5022,-10.0711,90.75,14,22,7.18,few clouds
284,Ancud,CL,-41.8697,-73.8203,51.42,87,100,7.45,overcast clouds
285,Lhokseumawe,ID,5.1801,97.1507,79.66,82,45,3.51,scattered clouds
286,Giyani,ZA,-23.3025,30.7187,60.37,42,0,2.44,clear sky
287,Matara,LK,5.9485,80.5353,78.58,88,100,9.22,overcast clouds
288,Marsh Harbour,BS,26.5412,-77.0636,83.43,67,18,2.62,few clouds
289,Pisco,PE,-13.7,-76.2167,61.02,82,0,8.05,clear sky
290,Santiago Del Estero,AR,-27.7951,-64.2615,63.81,27,0,7.27,clear sky
291,Prince Rupert,CA,54.3161,-130.3201,51.89,93,90,23.02,heavy intensity rain
292,Hagerstown,US,39.6418,-77.72,61.7,83,1,1.01,clear sky
293,Dutlwe,BW,-23.9833,23.9,60.04,49,0,12.12,clear sky
294,Port Augusta,AU,-32.5,137.7667,75.7,29,0,7.16,clear sky
295,Deputatskiy,RU,69.3,139.9,36.18,74,49,7.23,scattered clouds
296,Victoria,HK,22.2855,114.1577,87.33,80,33,17.92,scattered clouds
297,Clyde River,CA,70.4692,-68.5914,28.11,72,40,8.59,scattered clouds
298,Koutiala,ML,12.3917,-5.4642,75.76,79,26,7.83,light rain
299,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,78,2,10.36,clear sky
300,Millinocket,US,45.6573,-68.7098,68.02,91,1,0.0,clear sky
301,Sao Felix Do Xingu,BR,-6.6447,-51.995,80.85,44,5,0.45,clear sky
302,Awjilah,LY,29.1081,21.2869,75.65,61,97,12.48,overcast clouds
303,Vila Do Maio,CV,15.1333,-23.2167,79.5,74,100,12.55,overcast clouds
304,Victor Harbor,AU,-35.5667,138.6167,60.91,64,97,17.05,overcast clouds
305,Dumai,ID,1.6833,101.45,77.18,93,86,1.97,overcast clouds
306,Senador Pompeu,BR,-5.5881,-39.3717,80.67,61,68,8.5,broken clouds
307,Chapais,CA,49.7834,-74.8492,49.78,98,100,10.0,overcast clouds
308,Bad Kreuznach,DE,49.8333,7.8667,59.05,80,63,5.77,broken clouds
309,Lazaro Cardenas,MX,17.9583,-102.2,81.77,86,99,4.76,overcast clouds
310,Maniitsoq,GL,65.4167,-52.9,31.37,53,74,6.87,broken clouds
311,Dovers,VC,12.8833,-61.1833,83.71,74,7,12.95,clear sky
312,Kazachinskoye,RU,57.6953,93.2761,32.4,89,48,2.59,scattered clouds
313,Chipinge,ZW,-20.1883,32.6236,51.69,88,0,3.62,clear sky
314,Vao,NC,-22.6667,167.4833,68.04,62,38,15.7,scattered clouds
315,Usinsk,RU,65.9939,57.5281,37.35,94,100,7.38,overcast clouds
316,Udachnyy,RU,66.4167,112.4,38.34,74,100,3.74,overcast clouds
317,Muzhi,RU,65.3667,64.6667,34.77,82,100,2.35,overcast clouds
318,Polonnaruwa,LK,7.9333,81.0,79.18,69,100,3.87,overcast clouds
319,Muros,ES,42.7762,-9.0603,64.24,79,99,9.55,overcast clouds
320,Georgetown,MY,5.4112,100.3354,84.88,77,20,1.01,few clouds
321,Marsa Matruh,EG,31.3525,27.2453,73.51,66,90,17.65,overcast clouds
322,Salvador,SV,13.8333,-88.9167,72.0,94,97,2.1,overcast clouds
323,Kirakira,SB,-10.4544,161.9205,83.75,74,57,9.55,broken clouds
324,Mumbwa,ZM,-14.9783,27.0619,63.57,61,4,4.9,clear sky
325,Omboue,GA,-1.5746,9.2618,76.12,86,100,5.5,overcast clouds
326,Port Lincoln,AU,-34.7333,135.8667,56.32,59,100,16.17,overcast clouds
327,Zhezkazgan,KZ,47.8043,67.7144,40.95,69,0,15.14,clear sky
328,Hami,CN,42.8,93.45,67.44,18,7,4.83,clear sky
329,Gaoua,BF,10.2992,-3.2508,74.61,83,95,4.56,overcast clouds
330,Chimoio,MZ,-19.1164,33.4833,60.66,100,75,0.22,broken clouds
331,Leh,IN,34.1667,77.5833,50.38,64,14,4.45,few clouds
332,Kenai,US,60.5544,-151.2583,47.14,62,90,18.41,light rain
333,Launceston,AU,-41.45,147.1667,55.04,65,40,7.0,scattered clouds
334,Bouar,CF,5.934,15.596,65.1,95,100,2.48,overcast clouds
335,Touros,BR,-5.1989,-35.4608,79.7,78,88,14.45,overcast clouds
336,Hanzhong,CN,33.0728,107.0303,68.54,99,100,2.28,light rain
337,Mangrol,IN,21.1167,70.1167,80.04,81,53,1.97,broken clouds
338,Acari,PE,-15.4311,-74.6158,67.05,74,62,2.51,broken clouds
339,Kosh-Agach,RU,50.0,88.6667,29.66,48,88,1.74,overcast clouds
340,Brandon,US,27.9378,-82.2859,82.85,82,90,1.01,overcast clouds
341,Menongue,AO,-14.6585,17.691,64.0,25,5,4.7,clear sky
342,Chililabombwe,ZM,-12.3648,27.8229,64.74,48,10,7.45,clear sky
343,Vestmanna,FO,62.1564,-7.1664,50.92,100,90,21.85,drizzle
344,Verkh-Usugli,RU,52.7,115.1667,43.79,68,11,1.41,few clouds
345,Dicabisagan,PH,17.0818,122.4157,85.41,69,18,5.97,few clouds
